age;Median;1SDSminus;1SDSplus
1-7 days;1.703;0.200510204;1.269897959
8-15 days;3.275;0.935714286;1.069387755
0.5-6 months;20.305;7.151530612;10.56020408
6-12 months;18.34;5.54744898;13.63469388
1.0 year;17.554;5.280102041;12.8994898
2;16.375;4.945918367;11.89693878
3;15.589;4.678571429;11.3622449
4;15.458;4.611734694;11.02806122
5;15.589;4.611734694;11.16173469
6;16.244;4.812244898;11.5627551
7;18.34;5.213265306;11.76326531
8;20.305;5.681122449;12.63214286
9;23.318;6.483163265;14.10255102
10;27.51;7.55255102;16.24132653
11;33.929;9.156632653;19.51632653
12;42.444;11.29540816;23.79387755
13;51.221;13.43418367;27.67040816
14;58.426;14.97142857;30.07653061
15;61.177;15.30561224;30.07653061
16;57.378;14.03571429;26.80153061
17;47.553;11.29540816;21.1872449
18;38.776;8.956122449;16.375
19;32.357;7.285204082;13.03316327
20;28.427;6.349489796;11.16173469
