age;Median;1SDSminus;1SDSplus
1-7 days;1.703;0.200510204;1.269897959
8-15 days;3.275;0.935714286;1.069387755
0.5-6 months;20.305;7.151530612;10.56020408
6-12 months;18.34;5.54744898;13.63469388
1.0 year;17.554;5.280102041;12.8994898
2;16.375;4.945918367;11.89693878
3;15.589;4.678571429;11.3622449
4;15.458;4.611734694;11.02806122
5;15.589;4.611734694;11.16173469
6;16.244;4.812244898;11.5627551
7;16.375;4.879081633;11.69642857
8;18.209;5.41377551;12.69897959
9;20.829;6.148979592;14.30306122
10;24.628;7.218367347;16.70918367
11;30.523;8.82244898;20.38520408
12;39.431;11.3622449;25.9994898
13;50.828;14.43673469;32.34897959
14;61.57;17.04336735;37.16122449
15;65.5;17.64489796;37.42857143
16;61.308;16.10765306;33.15102041
17;52.138;13.3005102;26.53418367
18;43.23;10.69387755;20.71938776
19;36.418;8.755612245;16.64234694
20;32.226;7.619387755;14.10255102
